Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
57,0,0,150,0,0,150,-62.674941,-38.086987,377.469192,141.527382,86.004892,372.609482,197.063579,119.75373,371.287804,218.145388,132.564952,311.151044,234.362165,142.419739,264.891998
58,0,0,150,0,0,150,-60.543882,-37.800823,378.093262,142.084948,88.711325,370.52797,197.193207,123.118395,368.470464,217.599355,135.859058,308.086156,233.296391,145.659568,261.636688
59,0,0,150,0,0,150,-58.454055,-37.471011,378.692035,142.569849,91.392058,368.459753,197.241622,126.438499,365.676915,216.984216,139.094164,305.054608,232.170826,148.829292,258.422064
60,0,0,150,0,0,150,-56.408179,-37.100242,379.265543,142.984248,94.042218,366.408043,197.212314,129.708578,362.911234,216.304392,142.265635,302.060491,230.990605,151.92491,255.252228
61,0,0,150,0,0,150,-54.408834,-36.691376,379.813885,143.330583,96.657029,364.376081,197.109086,132.923332,360.177516,215.564575,145.369055,299.107892,229.761105,154.942688,252.131259
62,0,0,150,0,0,150,-52.45846,-36.247421,380.337219,143.611556,99.23182,362.367134,196.936037,136.077639,357.479872,214.769708,148.400239,296.200889,228.487917,157.879162,249.06321
63,0,0,150,0,0,150,-50.559351,-35.771526,380.835764,143.830114,101.762039,360.384488,196.697541,139.166565,354.822425,213.924965,151.355235,293.343549,227.176828,160.731134,246.052106
64,0,0,150,0,0,150,-48.713653,-35.266963,381.309795,143.989433,104.243259,358.431447,196.398222,142.185369,352.209303,213.035719,154.23033,290.539921,225.833794,163.495684,243.101936
65,0,0,150,0,0,150,-46.923369,-34.737115,381.759639,144.092897,106.67119,356.511328,196.042928,145.129515,349.644633,212.107528,157.022052,287.794037,224.464913,166.170157,240.216656
66,0,0,150,0,0,150,-45.190355,-34.185463,382.185671,144.144084,109.041681,354.627453,195.636714,147.994669,347.13254,211.146105,159.727167,285.109904,223.076405,168.752165,237.400184
67,0,0,150,0,0,150,-43.516324,-33.615567,382.588313,144.14674,111.350727,352.783148,195.184812,150.776707,344.677141,210.157294,162.342676,282.491506,221.674587,171.239576,234.656402
68,0,0,150,0,0,150,-41.902852,-33.031055,382.968024,144.104761,113.594473,350.98174,194.692606,153.471709,342.282541,209.147047,164.865814,279.942799,220.265849,173.63051,231.989151
69,0,0,150,0,0,150,-40.351378,-32.435611,383.325304,144.022173,115.76921,349.226551,194.165607,156.07596,339.952831,208.121402,167.294035,277.467708,218.85663,175.923323,229.402229
70,0,0,150,0,0,150,-38.863216,-31.832953,383.66068,143.903107,117.871379,347.520895,193.609429,158.585946,337.692083,207.086454,169.62501,275.070131,217.453396,178.116597,226.899398
71,0,0,150,0,0,150,-37.43956,-31.226827,383.974709,143.751782,119.897566,345.868076,193.029762,160.998342,335.504347,206.048334,171.856609,272.75393,216.062621,180.209122,224.484378
72,0,0,150,0,0,150,-36.08149,-30.620988,384.267969,143.572478,121.8445,344.271382,192.432344,163.310009,333.393649,205.013187,173.986893,270.522936,214.690759,182.19988,222.16085
73,0,0,150,0,0,150,-34.789987,-30.019186,384.541052,143.369516,123.709045,342.734086,191.822937,165.517978,331.363991,203.987146,176.014092,268.380948,213.344229,184.088026,219.932454
74,0,0,150,0,0,150,-33.565942,-29.425155,384.794565,143.147233,125.488196,341.259439,191.207302,167.619443,329.419342,202.976311,177.936595,266.33173,212.029395,185.872867,217.802798
75,0,0,150,0,0,150,-32.410166,-28.842598,385.029117,142.909964,127.179067,339.850671,190.591171,169.611738,327.563646,201.98673,179.752924,264.379015,210.752544,187.553837,215.775452
76,0,0,150,0,0,150,-31.323404,-28.275172,385.245317,142.662014,128.778883,338.510983,189.980224,171.492329,325.800809,201.02437,181.461717,262.5265,209.519867,189.130477,213.853955
77,0,0,150,0,0,150,-30.306353,-27.726478,385.443767,142.407636,130.284969,337.243553,189.38006,173.258794,324.134709,200.095104,183.061704,260.777856,208.337446,190.602405,212.041816
78,0,0,150,0,0,150,-29.359669,-27.200045,385.625057,142.151011,131.694736,336.051526,188.796175,174.908798,322.569185,199.204686,184.551686,259.13672,207.211232,191.969292,210.342516
79,0,0,150,0,0,150,-28.483991,-26.699319,385.789755,141.896221,133.005671,334.938015,188.233935,176.440083,321.108044,198.35873,185.930506,257.606702,206.147033,193.230832,208.759516
80,0,0,150,0,0,150,-27.679952,-26.227648,385.938405,141.647227,134.21532,333.906099,187.698552,177.850436,319.755053,197.562691,187.197028,256.191385,205.150491,194.386714,207.296255
81,0,0,150,0,0,150,-26.948195,-25.788272,386.071514,141.407847,135.321272,332.958819,187.195055,179.137675,318.513944,196.821848,188.350106,254.894325,204.227073,195.436591,205.956156
82,0,0,150,0,0,150,-26.289395,-25.384308,386.189552,141.181729,136.321148,332.09918,186.728269,180.299619,317.38841,196.141277,189.388559,253.719057,203.382052,196.380051,204.742632
83,0,0,150,0,0,150,-25.704274,-25.018738,386.292939,140.97233,137.212582,331.330144,186.302787,181.334071,316.382104,195.525838,190.311143,252.669095,202.620492,197.216583,203.659088
84,0,0,150,0,0,150,-25.193618,-24.694394,386.382039,140.782889,137.993205,330.654629,185.922943,182.238786,315.498639,194.980148,191.11652,251.74793,201.94723,197.945545,202.708924
85,0,0,150,0,0,150,-24.7583,-24.413947,386.457154,140.616403,138.66063,330.07551,185.592787,183.011456,314.74159,194.508568,191.803232,250.959041,201.36686,198.566136,201.895542
86,0,0,150,0,0,150,-24.399291,-24.179891,386.518514,140.475603,139.212435,329.59561,185.316056,183.649678,314.114486,194.11517,192.369671,250.305887,200.88372,199.077358,201.222349
87,0,0,150,0,0,150,-24.117686,-23.994527,386.56627,140.362925,139.646149,329.217705,185.096145,184.150935,313.620815,193.803726,192.814051,249.791915,200.501865,199.477986,200.692761
88,0,0,150,0,0,150,-23.914716,-23.859951,386.600484,140.280482,139.959236,328.944513,184.93608,184.512571,313.264019,193.577676,193.134379,249.42056,200.225057,199.766539,200.310207
89,0,0,150,0,0,150,-23.79177,-23.778034,386.621125,140.23004,140.149082,328.778698,184.838482,184.731771,313.047494,193.440104,193.328428,249.195246,200.056736,199.941241,200.078132
90,0,0,150,0,0,150,-23.75041,-23.750409,386.628054,140.212985,140.212982,328.722859,184.80554,184.805536,312.974584,193.393713,193.393711,249.119385,200.000001,199.999999,200
