Step,Time (s),CRI Command
100,3.3333,CMD Move Joint 24.2244 -7.6301 116.4735 36.4654 74.5570 0.0000 0.0 0.0 0.0 62.0
101,3.3667,CMD Move Joint 24.3083 -7.4086 116.5845 36.6381 74.6043 0.0000 0.0 0.0 0.0 62.0
102,3.4000,CMD Move Joint 24.3887 -7.1963 116.6908 36.8036 74.6497 0.0000 0.0 0.0 0.0 62.0
103,3.4333,CMD Move Joint 24.4656 -6.9936 116.7924 36.9616 74.6930 0.0000 0.0 0.0 0.0 62.0
104,3.4667,CMD Move Joint 24.5387 -6.8006 116.8891 37.1121 74.7343 0.0000 0.0 0.0 0.0 62.0
105,3.5000,CMD Move Joint 24.6081 -6.6175 116.9808 37.2548 74.7734 0.0000 0.0 0.0 0.0 62.0
106,3.5333,CMD Move Joint 24.6736 -6.4446 117.0674 37.3896 74.8103 0.0000 0.0 0.0 0.0 62.0
107,3.5667,CMD Move Joint 24.7352 -6.2821 117.1489 37.5163 74.8451 0.0000 0.0 0.0 0.0 62.0
108,3.6000,CMD Move Joint 24.7927 -6.1303 117.2250 37.6347 74.8775 0.0000 0.0 0.0 0.0 62.0
109,3.6333,CMD Move Joint 24.8462 -5.9892 117.2956 37.7447 74.9077 0.0000 0.0 0.0 0.0 62.0
110,3.6667,CMD Move Joint 24.8954 -5.8593 117.3607 37.8460 74.9354 0.0000 0.0 0.0 0.0 62.0
111,3.7000,CMD Move Joint 24.9404 -5.7406 117.4202 37.9385 74.9608 0.0000 0.0 0.0 0.0 62.0
112,3.7333,CMD Move Joint 24.9810 -5.6335 117.4738 38.0220 74.9837 0.0000 0.0 0.0 0.0 62.0
113,3.7667,CMD Move Joint 25.0171 -5.5382 117.5216 38.0964 75.0040 0.0000 0.0 0.0 0.0 62.0
114,3.8000,CMD Move Joint 25.0487 -5.4548 117.5634 38.1614 75.0219 0.0000 0.0 0.0 0.0 62.0
115,3.8333,CMD Move Joint 25.0757 -5.3836 117.5991 38.2169 75.0371 0.0000 0.0 0.0 0.0 62.0
116,3.8667,CMD Move Joint 25.0979 -5.3249 117.6285 38.2626 75.0496 0.0000 0.0 0.0 0.0 62.0
117,3.9000,CMD Move Joint 25.1154 -5.2788 117.6516 38.2986 75.0595 0.0000 0.0 0.0 0.0 62.0
118,3.9333,CMD Move Joint 25.1280 -5.2456 117.6682 38.3244 75.0666 0.0000 0.0 0.0 0.0 62.0
119,3.9667,CMD Move Joint 25.1356 -5.2255 117.6783 38.3401 75.0709 0.0000 0.0 0.0 0.0 62.0
120,4.0000,CMD Move Joint 25.1381 -5.2188 117.6816 38.3454 75.0723 0.0000 0.0 0.0 0.0 62.0
