Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
66,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-41.253395,-33.831407,382.969082,141.150645,115.755928,344.584248,190.758438,156.438676,334.144858,213.793245,175.329242,276.373375,231.512327,189.860446,231.933773
67,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-39.175794,-32.835816,383.469626,141.415687,118.529809,343.517601,190.530525,159.696193,332.651987,212.536786,178.141091,274.338093,229.464678,192.329474,229.481251
68,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-37.178434,-31.826552,383.935535,141.627519,121.240062,342.462137,190.256753,162.869058,331.182761,211.268010,180.855719,272.360936,227.430515,194.691612,227.113378
69,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-35.262811,-30.809012,384.367956,141.789519,123.881079,341.420919,189.941827,165.951605,329.740763,209.993228,183.470456,270.444631,225.417383,196.946495,224.832223
70,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-33.430220,-29.788627,384.768094,141.905256,126.447353,340.397053,189.590637,168.938310,328.329615,208.718790,185.982812,268.591866,223.432754,199.093968,222.639751
71,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-31.681763,-28.770844,385.137203,141.978461,128.933488,339.393679,189.208229,171.823788,326.952972,207.451059,188.390468,266.805285,221.484004,201.134068,220.537833
72,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-30.018367,-27.761107,385.476578,142.013006,131.334201,338.413964,188.799781,174.602800,325.614508,206.196394,190.691258,265.087495,219.578403,203.066996,218.528254
73,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-28.440797,-26.764835,385.787541,142.012877,133.644327,337.461091,188.370571,177.270250,324.317914,204.961129,192.883159,263.441068,217.723096,204.893089,216.612724
74,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-26.949678,-25.787407,386.071439,141.982147,135.858818,336.538255,187.925949,179.821181,323.066887,203.751551,194.964267,261.868543,215.925091,206.612794,214.792894
75,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-25.545510,-24.834141,386.329626,141.924950,137.972749,335.648648,187.471309,182.250773,321.865118,202.573883,196.932786,260.372430,214.191248,208.226642,213.070361
76,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-24.228694,-23.910279,386.563457,141.845450,139.981310,334.795456,187.012058,184.554336,320.716292,201.434264,198.787006,258.955212,212.528269,209.735214,211.446688
77,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-22.999549,-23.020966,386.774272,141.747815,141.879809,333.981844,186.553584,186.727300,319.624071,200.338729,200.525283,257.619350,210.942688,211.139117,209.923411
78,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-21.858343,-22.171239,386.963392,141.636183,143.663665,333.210952,186.101222,188.765207,318.592088,199.293193,202.146020,256.367288,209.440864,212.438952,208.502057
79,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-20.805310,-21.366006,387.132100,141.514634,145.328404,332.485880,185.660225,190.663704,317.623937,198.303432,203.647642,255.201452,208.028975,213.635286,207.184155
80,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-19.840682,-20.610034,387.281634,141.387156,146.869656,331.809680,185.235731,192.418526,316.723166,197.375063,205.028580,254.124259,206.713010,214.728621,205.971253
